Kode,Level,Uraian,UraianPath,SearchText,parent_kode,grandparent_kode
400.7.14.2,kuartier,kesehatan ibu bersalin dan nifas,400: kesejahteraan rakyat > 400.7: kesehatan > 400.7.14: kesehatan ibu > 400.7.14.2: kesehatan ibu bersalin dan nifas,kesejahteraan rakyat kesehatan kesehatan ibu kesehatan ibu bersalin dan nifas,400.7.14,400.7
400.7.14.3,kuartier,kesehatan maternal dengan pencegahan komplikasi,400: kesejahteraan rakyat > 400.7: kesehatan > 400.7.14: kesehatan ibu > 400.7.14.3: kesehatan maternal dengan pencegahan komplikasi,kesejahteraan rakyat kesehatan kesehatan ibu kesehatan maternal dengan pencegahan komplikasi,400.7.14,400.7
400.7.14.4,kuartier,keluarga berencana,400: kesejahteraan rakyat > 400.7: kesehatan > 400.7.14: kesehatan ibu > 400.7.14.4: keluarga berencana,kesejahteraan rakyat kesehatan kesehatan ibu keluarga berencana,400.7.14,400.7
400.7.14.5,kuartier,perlindungan kesehatan reproduksi,400: kesejahteraan rakyat > 400.7: kesehatan > 400.7.14: kesehatan ibu > 400.7.14.5: perlindungan kesehatan reproduksi,kesejahteraan rakyat kesehatan kesehatan ibu perlindungan kesehatan reproduksi,400.7.14,400.7
400.7.15,tersier,kesehatan anak,400: kesejahteraan rakyat > 400.7: kesehatan > 400.7.15: kesehatan anak,kesejahteraan rakyat kesehatan kesehatan anak,400.7,400
400.7.15.1,kuartier,kelangsungan hidup bayi,400: kesejahteraan rakyat > 400.7: kesehatan > 400.7.15: kesehatan anak > 400.7.15.1: kelangsungan hidup bayi,kesejahteraan rakyat kesehatan kesehatan anak kelangsungan hidup bayi,400.7.15,400.7
400.7.15.2,kuartier,kelangsungan anak balita dan pra sekolah,400: kesejahteraan rakyat > 400.7: kesehatan > 400.7.15: kesehatan anak > 400.7.15.2: kelangsungan anak balita dan pra sekolah,kesejahteraan rakyat kesehatan kesehatan anak kelangsungan anak balita dan pra sekolah,400.7.15,400.7
400.7.15.3,kuartier,kewaspadaan penanganan balita beresiko,400: kesejahteraan rakyat > 400.7: kesehatan > 400.7.15: kesehatan anak > 400.7.15.3: kewaspadaan penanganan balita beresiko,kesejahteraan rakyat kesehatan kesehatan anak kewaspadaan penanganan balita beresiko,400.7.15,400.7
400.7.15.4,kuartier,kualitas hidup anak usia sekolah dan remaja,400: kesejahteraan rakyat > 400.7: kesehatan > 400.7.15: kesehatan anak > 400.7.15.4: kualitas hidup anak usia sekolah dan remaja,kesejahteraan rakyat kesehatan kesehatan anak kualitas hidup anak usia sekolah dan remaja,400.7.15,400.7
400.7.15.5,kuartier,perlindungan kesehatan anak,400: kesejahteraan rakyat > 400.7: kesehatan > 400.7.15: kesehatan anak > 400.7.15.5: perlindungan kesehatan anak,kesejahteraan rakyat kesehatan kesehatan anak perlindungan kesehatan anak,400.7.15,400.7
400.7.16,tersier,kesehatan tradisional alternatif dan komplementer,400: kesejahteraan rakyat > 400.7: kesehatan > 400.7.16: kesehatan tradisional alternatif dan komplementer,kesejahteraan rakyat kesehatan kesehatan tradisional alternatif dan komplementer,400.7,400
400.7.16.1,kuartier,kesehatan tradisional keterampilan,400: kesejahteraan rakyat > 400.7: kesehatan > 400.7.16: kesehatan tradisional alternatif dan komplementer > 400.7.16.1: kesehatan tradisional keterampilan,kesejahteraan rakyat kesehatan kesehatan tradisional alternatif dan komplementer kesehatan tradisional keterampilan,400.7.16,400.7
400.7.16.2,kuartier,kesehatan tradisional ramuan,400: kesejahteraan rakyat > 400.7: kesehatan > 400.7.16: kesehatan tradisional alternatif dan komplementer > 400.7.16.2: kesehatan tradisional ramuan,kesejahteraan rakyat kesehatan kesehatan tradisional alternatif dan komplementer kesehatan tradisional ramuan,400.7.16,400.7
400.7.16.3,kuartier,kesehatan alternatif dan komplementer,400: kesejahteraan rakyat > 400.7: kesehatan > 400.7.16: kesehatan tradisional alternatif dan komplementer > 400.7.16.3: kesehatan alternatif dan komplementer,kesejahteraan rakyat kesehatan kesehatan tradisional alternatif dan komplementer kesehatan alternatif dan komplementer,400.7.16,400.7
400.7.16.4,kuartier,penapisan dan kemitraan,400: kesejahteraan rakyat > 400.7: kesehatan > 400.7.16: kesehatan tradisional alternatif dan komplementer > 400.7.16.4: penapisan dan kemitraan,kesejahteraan rakyat kesehatan kesehatan tradisional alternatif dan komplementer penapisan dan kemitraan,400.7.16,400.7
400.7.17,tersier,kesehatan kerja dan olah raga,400: kesejahteraan rakyat > 400.7: kesehatan > 400.7.17: kesehatan kerja dan olah raga,kesejahteraan rakyat kesehatan kesehatan kerja dan olah raga,400.7,400
400.7.17.1,kuartier,pelayanan kesehatan kerja,400: kesejahteraan rakyat > 400.7: kesehatan > 400.7.17: kesehatan kerja dan olah raga > 400.7.17.1: pelayanan kesehatan kerja,kesejahteraan rakyat kesehatan kesehatan kerja dan olah raga pelayanan kesehatan kerja,400.7.17,400.7
400.7.17.2,kuartier,kapasitas kerja,400: kesejahteraan rakyat > 400.7: kesehatan > 400.7.17: kesehatan kerja dan olah raga > 400.7.17.2: kapasitas kerja,kesejahteraan rakyat kesehatan kesehatan kerja dan olah raga kapasitas kerja,400.7.17,400.7
400.7.17.3,kuartier,lingkungan kerja,400: kesejahteraan rakyat > 400.7: kesehatan > 400.7.17: kesehatan kerja dan olah raga > 400.7.17.3: lingkungan kerja,kesejahteraan rakyat kesehatan kesehatan kerja dan olah raga lingkungan kerja,400.7.17,400.7
400.7.17.4,kuartier,kemitraan kesehatan kerja,400: kesejahteraan rakyat > 400.7: kesehatan > 400.7.17: kesehatan kerja dan olah raga > 400.7.17.4: kemitraan kesehatan kerja,kesejahteraan rakyat kesehatan kesehatan kerja dan olah raga kemitraan kesehatan kerja,400.7.17,400.7
400.7.17.5,kuartier,kesehatan perkotaan,400: kesejahteraan rakyat > 400.7: kesehatan > 400.7.17: kesehatan kerja dan olah raga > 400.7.17.5: kesehatan perkotaan,kesejahteraan rakyat kesehatan kesehatan kerja dan olah raga kesehatan perkotaan,400.7.17,400.7
400.7.17.6,kuartier,kesehatan olahraga,400: kesejahteraan rakyat > 400.7: kesehatan > 400.7.17: kesehatan kerja dan olah raga > 400.7.17.6: kesehatan olahraga,kesejahteraan rakyat kesehatan kesehatan kerja dan olah raga kesehatan olahraga,400.7.17,400.7
400.7.18,tersier,obat publik dan perbekalan kesehatan,400: kesejahteraan rakyat > 400.7: kesehatan > 400.7.18: obat publik dan perbekalan kesehatan,kesejahteraan rakyat kesehatan obat publik dan perbekalan kesehatan,400.7,400
400.7.18.1,kuartier,harga obat publik,400: kesejahteraan rakyat > 400.7: kesehatan > 400.7.18: obat publik dan perbekalan kesehatan > 400.7.18.1: harga obat publik,kesejahteraan rakyat kesehatan obat publik dan perbekalan kesehatan harga obat publik,400.7.18,400.7
400.7.18.2,kuartier,pengadaan obat,400: kesejahteraan rakyat > 400.7: kesehatan > 400.7.18: obat publik dan perbekalan kesehatan > 400.7.18.2: pengadaan obat,kesejahteraan rakyat kesehatan obat publik dan perbekalan kesehatan pengadaan obat,400.7.18,400.7
400.7.18.3,kuartier,perbekalan kesehatan,400: kesejahteraan rakyat > 400.7: kesehatan > 400.7.18: obat publik dan perbekalan kesehatan > 400.7.18.3: perbekalan kesehatan,kesejahteraan rakyat kesehatan obat publik dan perbekalan kesehatan perbekalan kesehatan,400.7.18,400.7
400.7.19,tersier,produksi dan distribusi alat kesehatan,400: kesejahteraan rakyat > 400.7: kesehatan > 400.7.19: produksi dan distribusi alat kesehatan,kesejahteraan rakyat kesehatan produksi dan distribusi alat kesehatan,400.7,400
400.7.19.1,kuartier,alat kesehatan,400: kesejahteraan rakyat > 400.7: kesehatan > 400.7.19: produksi dan distribusi alat kesehatan > 400.7.19.1: alat kesehatan,kesejahteraan rakyat kesehatan produksi dan distribusi alat kesehatan alat kesehatan,400.7.19,400.7
400.7.19.2,kuartier,produsen dan distributor alat kesehatan dan obat,400: kesejahteraan rakyat > 400.7: kesehatan > 400.7.19: produksi dan distribusi alat kesehatan > 400.7.19.2: produsen dan distributor alat kesehatan dan obat,kesejahteraan rakyat kesehatan produksi dan distribusi alat kesehatan produsen dan distributor alat kesehatan dan obat,400.7.19,400.7
400.7.19.3,kuartier,produk diagnostik in vitro dan perbekalan kesehatan rumah tangga,400: kesejahteraan rakyat > 400.7: kesehatan > 400.7.19: produksi dan distribusi alat kesehatan > 400.7.19.3: produk diagnostik in vitro dan perbekalan kesehatan rumah tangga,kesejahteraan rakyat kesehatan produksi dan distribusi alat kesehatan produk diagnostik in vitro dan perbekalan kesehatan rumah tangga,400.7.19,400.7
400.7.20,tersier,kefarmasian,400: kesejahteraan rakyat > 400.7: kesehatan > 400.7.20: kefarmasian,kesejahteraan rakyat kesehatan kefarmasian,400.7,400
400.7.20.1,kuartier,pelayanan kefarmasian,400: kesejahteraan rakyat > 400.7: kesehatan > 400.7.20: kefarmasian > 400.7.20.1: pelayanan kefarmasian,kesejahteraan rakyat kesehatan kefarmasian pelayanan kefarmasian,400.7.20,400.7
400.7.20.2,kuartier,farmasi klinis,400: kesejahteraan rakyat > 400.7: kesehatan > 400.7.20: kefarmasian > 400.7.20.2: farmasi klinis,kesejahteraan rakyat kesehatan kefarmasian farmasi klinis,400.7.20,400.7
400.7.20.3,kuartier,farmasi komunitas,400: kesejahteraan rakyat > 400.7: kesehatan > 400.7.20: kefarmasian > 400.7.20.3: farmasi komunitas,kesejahteraan rakyat kesehatan kefarmasian farmasi komunitas,400.7.20,400.7
400.7.20.4,kuartier,penggunaan obat rasional,400: kesejahteraan rakyat > 400.7: kesehatan > 400.7.20: kefarmasian > 400.7.20.4: penggunaan obat rasional,kesejahteraan rakyat kesehatan kefarmasian penggunaan obat rasional,400.7.20,400.7
400.7.21,tersier,produksi dan distribusi kefarmasian,400: kesejahteraan rakyat > 400.7: kesehatan > 400.7.21: produksi dan distribusi kefarmasian,kesejahteraan rakyat kesehatan produksi dan distribusi kefarmasian,400.7,400
400.7.21.1,kuartier,obat tradisional,400: kesejahteraan rakyat > 400.7: kesehatan > 400.7.21: produksi dan distribusi kefarmasian > 400.7.21.1: obat tradisional,kesejahteraan rakyat kesehatan produksi dan distribusi kefarmasian obat tradisional,400.7.21,400.7
400.7.21.2,kuartier,kosmetik dan makanan,400: kesejahteraan rakyat > 400.7: kesehatan > 400.7.21: produksi dan distribusi kefarmasian > 400.7.21.2: kosmetik dan makanan,kesejahteraan rakyat kesehatan produksi dan distribusi kefarmasian kosmetik dan makanan,400.7.21,400.7
400.7.21.3,kuartier,narkotika psikotropika prekursor farmasi dan sediaan farmasi khusus,400: kesejahteraan rakyat > 400.7: kesehatan > 400.7.21: produksi dan distribusi kefarmasian > 400.7.21.3: narkotika psikotropika prekursor farmasi dan sediaan farmasi khusus,kesejahteraan rakyat kesehatan produksi dan distribusi kefarmasian narkotika psikotropika prekursor farmasi dan sediaan farmasi khusus,400.7.21,400.7
400.7.21.4,kuartier,kemandirian obat dan bahan baku obat,400: kesejahteraan rakyat > 400.7: kesehatan > 400.7.21: produksi dan distribusi kefarmasian > 400.7.21.4: kemandirian obat dan bahan baku obat,kesejahteraan rakyat kesehatan produksi dan distribusi kefarmasian kemandirian obat dan bahan baku obat,400.7.21,400.7
400.7.22,tersier,surat keterangan sertifikasi dan perijinan,400: kesejahteraan rakyat > 400.7: kesehatan > 400.7.22: surat keterangan sertifikasi dan perijinan,kesejahteraan rakyat kesehatan surat keterangan sertifikasi dan perijinan,400.7,400
400.7.22.1,kuartier,surat keterangan,400: kesejahteraan rakyat > 400.7: kesehatan > 400.7.22: surat keterangan sertifikasi dan perijinan > 400.7.22.1: surat keterangan,kesejahteraan rakyat kesehatan surat keterangan sertifikasi dan perijinan surat keterangan,400.7.22,400.7
400.7.22.2,kuartier,sertifikasi dan perijinan,400: kesejahteraan rakyat > 400.7: kesehatan > 400.7.22: surat keterangan sertifikasi dan perijinan > 400.7.22.2: sertifikasi dan perijinan,kesejahteraan rakyat kesehatan surat keterangan sertifikasi dan perijinan sertifikasi dan perijinan,400.7.22,400.7
400.7.23,tersier,penanggulangan krisis kesehatan,400: kesejahteraan rakyat > 400.7: kesehatan > 400.7.23: penanggulangan krisis kesehatan,kesejahteraan rakyat kesehatan penanggulangan krisis kesehatan,400.7,400
400.7.23.1,kuartier,pencegahan mitigasi dan kesiapsiagaan,400: kesejahteraan rakyat > 400.7: kesehatan > 400.7.23: penanggulangan krisis kesehatan > 400.7.23.1: pencegahan mitigasi dan kesiapsiagaan,kesejahteraan rakyat kesehatan penanggulangan krisis kesehatan pencegahan mitigasi dan kesiapsiagaan,400.7.23,400.7
400.7.23.2,kuartier,tanggap darurat dan pemulihan,400: kesejahteraan rakyat > 400.7: kesehatan > 400.7.23: penanggulangan krisis kesehatan > 400.7.23.2: tanggap darurat dan pemulihan,kesejahteraan rakyat kesehatan penanggulangan krisis kesehatan tanggap darurat dan pemulihan,400.7.23,400.7
400.7.23.3,kuartier,pemantauan dan informasi,400: kesejahteraan rakyat > 400.7: kesehatan > 400.7.23: penanggulangan krisis kesehatan > 400.7.23.3: pemantauan dan informasi,kesejahteraan rakyat kesehatan penanggulangan krisis kesehatan pemantauan dan informasi,400.7.23,400.7
400.7.23.4,kuartier,penanggulangan krisis kesehatan dalam bidang pengendalian penyakit dan penyehatan,400: kesejahteraan rakyat > 400.7: kesehatan > 400.7.23: penanggulangan krisis kesehatan > 400.7.23.4: penanggulangan krisis kesehatan dalam bidang pengendalian penyakit dan penyehatan,kesejahteraan rakyat kesehatan penanggulangan krisis kesehatan penanggulangan krisis kesehatan dalam bidang pengendalian penyakit dan penyehatan,400.7.23,400.7
400.7.23.5,kuartier,pelayanan kesehatan reproduksi situasi bencana,400: kesejahteraan rakyat > 400.7: kesehatan > 400.7.23: penanggulangan krisis kesehatan > 400.7.23.5: pelayanan kesehatan reproduksi situasi bencana,kesejahteraan rakyat kesehatan penanggulangan krisis kesehatan pelayanan kesehatan reproduksi situasi bencana,400.7.23,400.7
400.7.24,tersier,pengembangan dan jaminan kesehatan,400: kesejahteraan rakyat > 400.7: kesehatan > 400.7.24: pengembangan dan jaminan kesehatan,kesejahteraan rakyat kesehatan pengembangan dan jaminan kesehatan,400.7,400
400.7.24.1,kuartier,tersedianya data nha setiap tahun,400: kesejahteraan rakyat > 400.7: kesehatan > 400.7.24: pengembangan dan jaminan kesehatan > 400.7.24.1: tersedianya data nha setiap tahun,kesejahteraan rakyat kesehatan pengembangan dan jaminan kesehatan tersedianya data nha setiap tahun,400.7.24,400.7
400.7.24.2,kuartier,tersedianya dokumen teknis penguatan pelaksanaan jkn,400: kesejahteraan rakyat > 400.7: kesehatan > 400.7.24: pengembangan dan jaminan kesehatan > 400.7.24.2: tersedianya dokumen teknis penguatan pelaksanaan jkn,kesejahteraan rakyat kesehatan pengembangan dan jaminan kesehatan tersedianya dokumen teknis penguatan pelaksanaan jkn,400.7.24,400.7
400.7.25,tersier,intelegensia kesehatan,400: kesejahteraan rakyat > 400.7: kesehatan > 400.7.25: intelegensia kesehatan,kesejahteraan rakyat kesehatan intelegensia kesehatan,400.7,400
400.7.25.1,kuartier,pemeliharaan dan peningkatan kemampuan inteligensia kesehatan,400: kesejahteraan rakyat > 400.7: kesehatan > 400.7.25: intelegensia kesehatan > 400.7.25.1: pemeliharaan dan peningkatan kemampuan inteligensia kesehatan,kesejahteraan rakyat kesehatan intelegensia kesehatan pemeliharaan dan peningkatan kemampuan inteligensia kesehatan,400.7.25,400.7
400.7.25.2,kuartier,penanggulangan masalah inteligensia kesehatan,400: kesejahteraan rakyat > 400.7: kesehatan > 400.7.25: intelegensia kesehatan > 400.7.25.2: penanggulangan masalah inteligensia kesehatan,kesejahteraan rakyat kesehatan intelegensia kesehatan penanggulangan masalah inteligensia kesehatan,400.7.25,400.7
400.7.26,tersier,kesehatan haji,400: kesejahteraan rakyat > 400.7: kesehatan > 400.7.26: kesehatan haji,kesejahteraan rakyat kesehatan kesehatan haji,400.7,400
400.7.26.1,kuartier,pelayanan dan pendayagunaan sumber daya kesehatan haji,400: kesejahteraan rakyat > 400.7: kesehatan > 400.7.26: kesehatan haji > 400.7.26.1: pelayanan dan pendayagunaan sumber daya kesehatan haji,kesejahteraan rakyat kesehatan kesehatan haji pelayanan dan pendayagunaan sumber daya kesehatan haji,400.7.26,400.7
400.7.26.2,kuartier,peningkatan kesehatan dan pengendalian faktor risiko kesehatan haji,400: kesejahteraan rakyat > 400.7: kesehatan > 400.7.26: kesehatan haji > 400.7.26.2: peningkatan kesehatan dan pengendalian faktor risiko kesehatan haji,kesejahteraan rakyat kesehatan kesehatan haji peningkatan kesehatan dan pengendalian faktor risiko kesehatan haji,400.7.26,400.7
400.7.27,tersier,promosi kesehatan,400: kesejahteraan rakyat > 400.7: kesehatan > 400.7.27: promosi kesehatan,kesejahteraan rakyat kesehatan promosi kesehatan,400.7,400
400.7.27.1,kuartier,sarana promosi kesehatan,400: kesejahteraan rakyat > 400.7: kesehatan > 400.7.27: promosi kesehatan > 400.7.27.1: sarana promosi kesehatan,kesejahteraan rakyat kesehatan promosi kesehatan sarana promosi kesehatan,400.7.27,400.7
400.7.27.2,kuartier,pembinaan advokasi dan kemitraan serta pemberdayaan peran,400: kesejahteraan rakyat > 400.7: kesehatan > 400.7.27: promosi kesehatan > 400.7.27.2: pembinaan advokasi dan kemitraan serta pemberdayaan peran,kesejahteraan rakyat kesehatan promosi kesehatan pembinaan advokasi dan kemitraan serta pemberdayaan peran,400.7.27,400.7
400.7.27.3,kuartier,pengembangan pesan promosi kesehatan,400: kesejahteraan rakyat > 400.7: kesehatan > 400.7.27: promosi kesehatan > 400.7.27.3: pengembangan pesan promosi kesehatan,kesejahteraan rakyat kesehatan promosi kesehatan pengembangan pesan promosi kesehatan,400.7.27,400.7
400.7.27.4,kuartier,hari kesehatan,400: kesejahteraan rakyat > 400.7: kesehatan > 400.7.27: promosi kesehatan > 400.7.27.4: hari kesehatan,kesejahteraan rakyat kesehatan promosi kesehatan hari kesehatan,400.7.27,400.7
400.7.28,tersier,data dan informasi,400: kesejahteraan rakyat > 400.7: kesehatan > 400.7.28: data dan informasi,kesejahteraan rakyat kesehatan data dan informasi,400.7,400
400.7.28.1,kuartier,statistik kesehatan,400: kesejahteraan rakyat > 400.7: kesehatan > 400.7.28: data dan informasi > 400.7.28.1: statistik kesehatan,kesejahteraan rakyat kesehatan data dan informasi statistik kesehatan,400.7.28,400.7
400.7.28.2,kuartier,analisis dan diseminasi informasi,400: kesejahteraan rakyat > 400.7: kesehatan > 400.7.28: data dan informasi > 400.7.28.2: analisis dan diseminasi informasi,kesejahteraan rakyat kesehatan data dan informasi analisis dan diseminasi informasi,400.7.28,400.7
400.7.28.3,kuartier,pengembangan sistem informasi dan bank data kesehatan,400: kesejahteraan rakyat > 400.7: kesehatan > 400.7.28: data dan informasi > 400.7.28.3: pengembangan sistem informasi dan bank data kesehatan,kesejahteraan rakyat kesehatan data dan informasi pengembangan sistem informasi dan bank data kesehatan,400.7.28,400.7
400.7.29,tersier,pengawasan obat tradisional kosmetik dan produk komplimen,400: kesejahteraan rakyat > 400.7: kesehatan > 400.7.29: pengawasan obat tradisional kosmetik dan produk komplimen,kesejahteraan rakyat kesehatan pengawasan obat tradisional kosmetik dan produk komplimen,400.7,400
400.7.29.1,kuartier,penilaian obat tradisional suplemen makanan dan kosmetik,400: kesejahteraan rakyat > 400.7: kesehatan > 400.7.29: pengawasan obat tradisional kosmetik dan produk komplimen > 400.7.29.1: penilaian obat tradisional suplemen makanan dan kosmetik,kesejahteraan rakyat kesehatan pengawasan obat tradisional kosmetik dan produk komplimen penilaian obat tradisional suplemen makanan dan kosmetik,400.7.29,400.7
400.7.29.2,kuartier,standardisasi obat tradisional kosmetik dan produk komplimen,400: kesejahteraan rakyat > 400.7: kesehatan > 400.7.29: pengawasan obat tradisional kosmetik dan produk komplimen > 400.7.29.2: standardisasi obat tradisional kosmetik dan produk komplimen,kesejahteraan rakyat kesehatan pengawasan obat tradisional kosmetik dan produk komplimen standardisasi obat tradisional kosmetik dan produk komplimen,400.7.29,400.7
400.7.29.3,kuartier,inspeksi dan sertifikasi obat tradisional kosmetik dan produk komplimen,400: kesejahteraan rakyat > 400.7: kesehatan > 400.7.29: pengawasan obat tradisional kosmetik dan produk komplimen > 400.7.29.3: inspeksi dan sertifikasi obat tradisional kosmetik dan produk komplimen,kesejahteraan rakyat kesehatan pengawasan obat tradisional kosmetik dan produk komplimen inspeksi dan sertifikasi obat tradisional kosmetik dan produk komplimen,400.7.29,400.7
400.7.29.4,kuartier,obat asli indonesia,400: kesejahteraan rakyat > 400.7: kesehatan > 400.7.29: pengawasan obat tradisional kosmetik dan produk komplimen > 400.7.29.4: obat asli indonesia,kesejahteraan rakyat kesehatan pengawasan obat tradisional kosmetik dan produk komplimen obat asli indonesia,400.7.29,400.7
400.7.30,tersier,pengawasan keamanan pangan dan bahan berbahaya,400: kesejahteraan rakyat > 400.7: kesehatan > 400.7.30: pengawasan keamanan pangan dan bahan berbahaya,kesejahteraan rakyat kesehatan pengawasan keamanan pangan dan bahan berbahaya,400.7,400
400.7.30.1,kuartier,penilaian keamanan pangan,400: kesejahteraan rakyat > 400.7: kesehatan > 400.7.30: pengawasan keamanan pangan dan bahan berbahaya > 400.7.30.1: penilaian keamanan pangan,kesejahteraan rakyat kesehatan pengawasan keamanan pangan dan bahan berbahaya penilaian keamanan pangan,400.7.30,400.7
400.7.30.2,kuartier,standardisasi produk pangan,400: kesejahteraan rakyat > 400.7: kesehatan > 400.7.30: pengawasan keamanan pangan dan bahan berbahaya > 400.7.30.2: standardisasi produk pangan,kesejahteraan rakyat kesehatan pengawasan keamanan pangan dan bahan berbahaya standardisasi produk pangan,400.7.30,400.7
400.7.30.3,kuartier,inspeksi dan sertifikasi produk pangan,400: kesejahteraan rakyat > 400.7: kesehatan > 400.7.30: pengawasan keamanan pangan dan bahan berbahaya > 400.7.30.3: inspeksi dan sertifikasi produk pangan,kesejahteraan rakyat kesehatan pengawasan keamanan pangan dan bahan berbahaya inspeksi dan sertifikasi produk pangan,400.7.30,400.7
400.7.30.4,kuartier,surveilan dan penyuluhan keamanan pangan,400: kesejahteraan rakyat > 400.7: kesehatan > 400.7.30: pengawasan keamanan pangan dan bahan berbahaya > 400.7.30.4: surveilan dan penyuluhan keamanan pangan,kesejahteraan rakyat kesehatan pengawasan keamanan pangan dan bahan berbahaya surveilan dan penyuluhan keamanan pangan,400.7.30,400.7
400.7.30.5,kuartier,pengawasan produk dan bahan berbahaya,400: kesejahteraan rakyat > 400.7: kesehatan > 400.7.30: pengawasan keamanan pangan dan bahan berbahaya > 400.7.30.5: pengawasan produk dan bahan berbahaya,kesejahteraan rakyat kesehatan pengawasan keamanan pangan dan bahan berbahaya pengawasan produk dan bahan berbahaya,400.7.30,400.7
400.7.31,tersier,rekam medis,400: kesejahteraan rakyat > 400.7: kesehatan > 400.7.31: rekam medis,kesejahteraan rakyat kesehatan rekam medis,400.7,400
400.8,sekunder,agama dan kepercayaan,400: kesejahteraan rakyat > 400.8: agama dan kepercayaan,kesejahteraan rakyat agama dan kepercayaan,400,
400.8.1,tersier,kebijakan di bidang agama dan kepercayaan yang dilakukan oleh pemerintah daerah,400: kesejahteraan rakyat > 400.8: agama dan kepercayaan > 400.8.1: kebijakan di bidang agama dan kepercayaan yang dilakukan oleh pemerintah daerah,kesejahteraan rakyat agama dan kepercayaan kebijakan di bidang agama dan kepercayaan yang dilakukan oleh pemerintah daerah,400.8,400
400.8.2,tersier,fasilitasi,400: kesejahteraan rakyat > 400.8: agama dan kepercayaan > 400.8.2: fasilitasi,kesejahteraan rakyat agama dan kepercayaan fasilitasi,400.8,400
400.8.2.1,kuartier,data forum komunikasi umat beragama fkub prov atau kab atau kota,400: kesejahteraan rakyat > 400.8: agama dan kepercayaan > 400.8.2: fasilitasi > 400.8.2.1: data forum komunikasi umat beragama fkub prov atau kab atau kota,kesejahteraan rakyat agama dan kepercayaan fasilitasi data forum komunikasi umat beragama fkub prov atau kab atau kota,400.8.2,400.8
400.8.2.2,kuartier,pelaksanaan kerukunan umat beragama dan kepercayaan,400: kesejahteraan rakyat > 400.8: agama dan kepercayaan > 400.8.2: fasilitasi > 400.8.2.2: pelaksanaan kerukunan umat beragama dan kepercayaan,kesejahteraan rakyat agama dan kepercayaan fasilitasi pelaksanaan kerukunan umat beragama dan kepercayaan,400.8.2,400.8
400.8.2.3,kuartier,pelestarian nilai nilai keagamaan dan kepercayan,400: kesejahteraan rakyat > 400.8: agama dan kepercayaan > 400.8.2: fasilitasi > 400.8.2.3: pelestarian nilai nilai keagamaan dan kepercayan,kesejahteraan rakyat agama dan kepercayaan fasilitasi pelestarian nilai nilai keagamaan dan kepercayan,400.8.2,400.8
400.8.2.4,kuartier,kasus keagamaan,400: kesejahteraan rakyat > 400.8: agama dan kepercayaan > 400.8.2: fasilitasi > 400.8.2.4: kasus keagamaan,kesejahteraan rakyat agama dan kepercayaan fasilitasi kasus keagamaan,400.8.2,400.8
400.8.2.5,kuartier,kasus aliran keagamaan,400: kesejahteraan rakyat > 400.8: agama dan kepercayaan > 400.8.2: fasilitasi > 400.8.2.5: kasus aliran keagamaan,kesejahteraan rakyat agama dan kepercayaan fasilitasi kasus aliran keagamaan,400.8.2,400.8
400.8.3,tersier,pembinaan kepercayaan kepada tuhan yme,400: kesejahteraan rakyat > 400.8: agama dan kepercayaan > 400.8.3: pembinaan kepercayaan kepada tuhan yme,kesejahteraan rakyat agama dan kepercayaan pembinaan kepercayaan kepada tuhan yme,400.8,400
400.8.3.1,kuartier,kelembagaan dan kepercayaan,400: kesejahteraan rakyat > 400.8: agama dan kepercayaan > 400.8.3: pembinaan kepercayaan kepada tuhan yme > 400.8.3.1: kelembagaan dan kepercayaan,kesejahteraan rakyat agama dan kepercayaan pembinaan kepercayaan kepada tuhan yme kelembagaan dan kepercayaan,400.8.3,400.8
400.8.3.2,kuartier,pembinaan kerukunan hidup beragama,400: kesejahteraan rakyat > 400.8: agama dan kepercayaan > 400.8.3: pembinaan kepercayaan kepada tuhan yme > 400.8.3.2: pembinaan kerukunan hidup beragama,kesejahteraan rakyat agama dan kepercayaan pembinaan kepercayaan kepada tuhan yme pembinaan kerukunan hidup beragama,400.8.3,400.8
400.8.3.3,kuartier,komunitas kepercayaan,400: kesejahteraan rakyat > 400.8: agama dan kepercayaan > 400.8.3: pembinaan kepercayaan kepada tuhan yme > 400.8.3.3: komunitas kepercayaan,kesejahteraan rakyat agama dan kepercayaan pembinaan kepercayaan kepada tuhan yme komunitas kepercayaan,400.8.3,400.8
400.8.3.4,kuartier,pengetahuan dan ekspresi budaya tradisional,400: kesejahteraan rakyat > 400.8: agama dan kepercayaan > 400.8.3: pembinaan kepercayaan kepada tuhan yme > 400.8.3.4: pengetahuan dan ekspresi budaya tradisional,kesejahteraan rakyat agama dan kepercayaan pembinaan kepercayaan kepada tuhan yme pengetahuan dan ekspresi budaya tradisional,400.8.3,400.8
400.8.3.5,kuartier,lingkungan budaya dan pranata sosial,400: kesejahteraan rakyat > 400.8: agama dan kepercayaan > 400.8.3: pembinaan kepercayaan kepada tuhan yme > 400.8.3.5: lingkungan budaya dan pranata sosial,kesejahteraan rakyat agama dan kepercayaan pembinaan kepercayaan kepada tuhan yme lingkungan budaya dan pranata sosial,400.8.3,400.8
400.9,sekunder,sosial,400: kesejahteraan rakyat > 400.9: sosial,kesejahteraan rakyat sosial,400,
